nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
22,0.0,60,0.0413336227316051,0.0,12440618.6913906,12838983.1512371,13129699.4973749,13322521.5605171,13515343.6236594,13764529.0667605,14078977.3610451,14411224.6102195,0.1
23,0.0,61,0.0413336227316051,0.0,943142.157647425,978256.541263905,1003882.13373216,1020878.69988545,1037875.26603873,1059840.05989626,1087557.53759825,1116843.92867723,0.1
24,0.0,62,0.0413336227316051,0.0,739650.925085919,767653.534805394,788089.133862357,801643.357503583,815197.581144809,832713.809157778,854817.620489739,878172.590590696,0.1
25,0.0,63,0.0413336227316051,0.0,505352.934659909,523843.546792133,537337.529661493,546287.620192842,555237.710724192,566803.981920057,581399.514482113,596821.209024968,0.1
26,0.0,64,0.0413336227316051,0.0,199362.355657559,206740.821075706,212125.439239922,215696.869596181,219268.299952441,223883.687016175,229707.865875073,235861.71513977,0.1
27,0.0,65,0.0413336227316051,0.0,817797.973506377,849941.809685317,873399.571475597,888958.290774297,904517.010072997,924623.663322897,949996.344565907,976805.214896557,0.1
28,0.0,66,0.0413336227316051,0.0,583506.968467588,605408.8960601,621392.371005436,631993.65523347,642594.939461504,656295.061038644,673583.309532657,691850.13784619,0.1
29,0.0,67,0.0413336227316051,0.0,177508.180372716,184519.948558808,189636.960321883,193030.896639491,196424.832957099,200810.843102298,206345.570138151,212193.583519102,0.1
30,0.0,68,0.0413336227316051,0.0,482107.316452067,499912.480610009,512906.240817368,521524.551017137,530142.861216905,541280.37012494,555334.845519354,570184.857026038,0.1
31,0.0,69,0.0413336227316051,0.0,73222.1630484524,75766.9245312708,77624.0273470242,78855.7791943426,80087.531041661,81679.3334778699,83688.0365332119,85810.4397285099,0.1
32,0.0,70,0.0413336227316051,0.0,364736.202833316,376990.208127503,385932.872455669,391864.231351218,397795.590246766,405460.731208819,415133.408998389,425353.596692669,0.1
33,0.0,71,0.0413336227316051,0.0,515241.780937676,532976.810964087,545919.389049261,554503.751923649,563088.114798037,574181.753315001,588180.868454539,602972.386107923,0.1
34,0.0,72,0.0413336227316051,0.0,199233.253925975,205849.633781302,210678.101102261,213880.655905289,217083.210708317,221221.89704246,226444.524986349,231962.773294124,0.1
47,2.0,109,0.0,0.0,0.0,379769.554866263,759539.112746055,1139308.66761232,1519078.22549211,1898847.78035837,2278617.33823817,2658386.89310443,0.0
36,2.0,98,0.0,0.0,0.0,72721.1392777675,145442.279132588,218163.418410356,290884.558265176,363605.697542944,436326.837397764,509047.976675532,0.0
37,2.0,99,0.0,0.0,0.0,102043.016070122,204086.03294997,306129.049020092,408172.065899941,510215.081970063,612258.098849911,714301.114920033,0.0
38,2.0,100,0.0,0.0,0.0,171168.081770544,342336.164899333,513504.246669877,684672.329798665,855840.411569209,1027008.494698,1198176.57646854,0.0
39,2.0,101,0.0,0.0,0.0,497561.899258878,995123.802465985,1492685.70172486,1990247.60493197,2487809.50419085,2985371.40739795,3482933.30665683,0.0
40,2.0,102,0.0,0.0,0.0,123721.583931198,247443.168844145,371164.752775343,494886.33768829,618607.921619488,742329.506532435,866051.090463633,0.0
41,2.0,103,0.0,0.0,0.0,297382.592910685,594765.188181145,892147.78109183,1189530.37636229,1486912.96927297,1784295.56454343,2081678.15745412,0.0
42,2.0,104,0.0,0.0,0.0,24753.5733510906,49507.1468986045,74260.7202496951,99014.2937972091,123767.8671483,148521.440695814,173275.014046904,0.0
43,2.0,105,0.0,0.0,0.0,244801.253747381,489602.509437297,734403.763184679,979205.018874595,1224006.27262198,1468807.52831189,1713608.78205927,0.0
44,2.0,106,0.0,0.0,0.0,9302.12897384604,18604.2580215059,27906.3869953519,37208.5160430117,46510.6450168578,55812.7740645176,65114.9030383637,0.0
45,2.0,107,0.0,0.0,0.0,349891.314153014,699782.631082467,1049673.94523548,1399565.26216493,1749456.57631795,2099347.8932474,2449239.20740042,0.0
46,2.0,108,0.0,0.0,0.0,44295.0514942605,88590.1033400088,132885.154834269,177180.206680018,221475.258174278,265770.310020026,310065.361514287,0.0
48,2.0,110,0.0,0.0,0.0,361799.058926488,723598.120723906,1085397.17965039,1447196.24144781,1808995.3003743,2170794.36217172,2532593.42109821,0.0
49,2.0,111,0.0,0.0,0.0,141653.6133317,283307.227787444,424960.841119144,566614.455574887,708268.068906588,849921.683362331,991575.296694031,0.0
50,2.0,112,0.0,0.0,0.0,117172.33792266,234344.676775101,351517.014697761,468689.353550202,585861.691472862,703034.030325302,820206.368247963,0.0
